2025-10-08 21:06:47    绿光---红外光---红光
1.158338E+09 7.412137E+07 5.281792E+07
4.074882E+08 -1.862595E+09 3.157248E+07
1.996683E+09 -1.105825E+09 9030673
6.722392E+07 -9.239258E+08 3.349596E+08
-1.006374E+08 2.685013E+08 -1.530293E+09
4.382451E+08 2.812806E+08 3.035162E+07
2.148789E+08 1.23628E+09 1.432064E+07
1.241612E+09 3.697556E+08 3844389
1.979755E+09 -7.780431E+08 6.696493E+08
6.543233E+08 -1.967389E+08 1.94321E+09
9.759078E+08 1.757348E+09 1.29216E+07
1.414157E+08 5.286905E+08 5963520
-1.107253E+09 -2.079835E+09 1884463
1.526748E+09 -6.400244E+08 8.278529E+08
1.342183E+09 2.053112E+09 1.33996E+09
-2.009748E+09 1.148256E+09 7982848
1.345371E+08 3.839893E+08 4512000
1.00695E+08 8.22634E+08 1540406
7.885469E+08 -5.333318E+08 9.099695E+08
-6.207507E+08 -2.055537E+09 -1.965042E+09
1.832281E+09 1.237844E+09 9374976
1.46268E+08 4.809171E+08 5148672
1.107336E+09 5.878092E+08 1996597
-1.56026E+09 -5.501745E+08 8.724179E+08
-1.7616E+09 -1.445134E+09 8.870413E+08
6.240668E+08 1.460797E+09 1.134438E+07
2.276636E+08 5.462555E+08 5764608
1.795207E+09 1.913508E+09 2127154
1.056987E+09 -5.630196E+08 8.465322E+08
1.124082E+09 -1.413546E+09 -1.411469E+09
3.052982E+08 1.403519E+09 1.091302E+07
2.507978E+08 5.012323E+08 5274112
3.523625E+08 -2.0626E+09 1879090
-1.124054E+09 -5.514198E+08 8.53086E+08
1.174471E+08 -1.983447E+09 -1.461728E+09
5.366786E+07 1.124008E+09 8783104
2.623979E+08 4.165599E+08 4335104
3.02024E+08 8.902134E+08 1622067
-1.040171E+09 -5.385092E+08 8.608194E+08
9.395306E+08 -2.013593E+09 -1.059054E+09
1.530109E+09 1.143079E+09 9289472
2.652816E+08 4.544399E+08 4558080
1.30866E+09 -3.680446E+08 1797427
-1.392491E+09 -5.23698E+08 8.716986E+08
1.543512E+09 -1.528758E+09 8.367926E+08
-1.791788E+09 1.53754E+09 1.232512E+07
3.001465E+08 7.127172E+08 7667968
5.039114E+07 1.813089E+09 3455284
1.828756E+09 -6.223951E+08 8.412244E+08
1.728069E+09 1.522533E+09 -2.099697E+09
-3.996172E+08 -6.446776E+08 2.391834E+07
3.350751E+08 1.097477E+09 1.483878E+07
-1.342082E+09 -4.515674E+08 4249382
-1.493113E+09 -7.394423E+08 5.408742E+08
8.38892E+08 -1.890713E+09 3.822292E+08
1.847034E+09 -1.559888E+09 4.280269E+07
2.089148E+08 -2.082726E+09 3.013197E+07
1.862454E+09 -2.146641E+09 8757531
-2.347616E+08 -9.56956E+08 3.826672E+08
9.395576E+08 -9.878892E+08 1.806807E+08
-9.547686E+08 -7.620525E+08 4.635187E+07
1.136239E+08 2.085624E+09 2.932582E+07
-4.024806E+08 6.71501E+08 7183637
9.396269E+08 -1.021968E+09 3.368565E+08
-3.690739E+08 5.374611E+08 -2.221601E+08
